Var1,Var2,Var3,Var4
0,0,0,0
0.005,0.281,0.47539,0.0665
0.0075,0.396,0.44004,0.0812
0.0125,0.603,0.39531,0.1044
0.025,1.055,0.33404,0.1466
0.05,1.803,0.27149,0.2066
0.075,2.432,0.23378,0.2525
0.1,2.981,0.20618,0.2907
0.15,3.903,0.16546,0.3521
0.2,4.651,0.13452,0.4
0.25,5.257,0.10873,0.4363
0.3,5.742,0.08595,0.4637
0.35,6.12,0.06498,0.4832
0.4,6.394,0.04507,0.4952
0.45,6.571,0.02559,0.5
0.5,6.651,0.00607,0.4962
0.55,6.631,-0.01404,0.4846
0.6,6.508,-0.03537,0.4653
0.65,6.274,-0.05887,0.4383
0.7,5.913,-0.0861,0.4035
0.75,5.401,-0.12058,0.3612
0.8,4.673,-0.18034,0.311
0.85,3.607,-0.2343,0.2532
0.9,2.452,-0.24521,0.1877
0.95,1.226,-0.24521,0.1143
1,0,-0.24521,0.0333
